type,k,makespan,R
ref,2,515.2222790309701,"[[0, 0], [1, 0]]"
aug,2,475.86971648198545,"[[0, 0], [1, 0]]"
both,2,481.53280487943107,"[[0, 0], [1, 0]]"
none,2,588.8285576047246,"[[0, 0], [1, 0]]"
ref,3,387.32919730715264,"[[0, 0], [0, 1], [0, 2]]"
aug,3,320.13919304201556,"[[0, 0], [0, 1], [0, 2]]"
both,3,324.9465832725715,"[[0, 0], [0, 1], [0, 2]]"
none,3,443.25126993979654,"[[0, 0], [0, 1], [0, 2]]"
ref,4,314.4034129104935,"[[0, 0], [1, 0], [0, 1], [0, 2]]"
aug,4,240.9801469157498,"[[0, 0], [1, 0], [0, 1], [0, 2]]"
both,4,243.30494570104054,"[[0, 0], [1, 0], [0, 1], [0, 2]]"
none,4,383.1657170012697,"[[0, 0], [1, 0], [0, 1], [0, 2]]"
ref,5,239.5988717730829,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2]]"
aug,5,226.90555263879753,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2]]"
both,5,207.73027552955435,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2]]"
none,5,328.6702468368293,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2]]"
ref,6,191.5485490808564,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2], [2, 2]]"
aug,6,191.77383914359487,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2], [2, 2]]"
both,6,181.4782346763331,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2], [2, 2]]"
none,6,311.6325582977822,"[[0, 0], [1, 0], [0, 1], [1, 1], [0, 2], [2, 2]]"
ref,7,214.04599016238546,"[[0, 0], [1, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
aug,7,169.6391237512081,"[[0, 0], [1, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
both,7,159.72154909157098,"[[0, 0], [1, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
none,7,286.9068774775357,"[[0, 0], [1, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
ref,8,177.3128556651323,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
aug,8,169.58798741824282,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
both,8,150.82520007964354,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
none,8,286.09696358697124,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [2, 2]]"
ref,9,155.5,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2]]"
aug,9,213.4,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2]]"
both,9,141.2,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2]]"
none,9,291.0,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2]]"
ref,10,230.8733879650374,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2], [3, 2]]"
aug,10,152.46552388015542,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2], [3, 2]]"
both,10,130.25511467546087,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2], [3, 2]]"
none,10,286.09696358697124,"[[0, 0], [1, 0], [2, 0], [0, 1], [1, 1], [2, 1], [0, 2], [1, 2], [2, 2], [3, 2]]"
