type,k,makespan,R
ref,2,211.30105451625448,"[[0, 1], [0, 2]]"
aug,2,211.03846697132394,"[[0, 1], [0, 2]]"
both,2,211.03846697132394,"[[0, 1], [0, 2]]"
none,2,323.5883322210298,"[[0, 1], [0, 2]]"
ref,3,173.229328914556,"[[0, 1], [0, 1], [0, 2]]"
aug,3,145.33151365800927,"[[0, 1], [0, 1], [0, 2]]"
both,3,142.05584548594007,"[[0, 1], [0, 1], [0, 2]]"
none,3,323.4046661992634,"[[0, 1], [0, 1], [0, 2]]"
ref,4,157.62447419520157,"[[0, 1], [0, 1], [0, 2], [0, 2]]"
aug,4,113.00973542341009,"[[0, 1], [0, 1], [0, 2], [0, 2]]"
both,4,108.25113927564183,"[[0, 1], [0, 1], [0, 2], [0, 2]]"
none,4,323.588051769184,"[[0, 1], [0, 1], [0, 2], [0, 2]]"
ref,5,120.82103627009847,"[[0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
aug,5,91.6270513288163,"[[0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
both,5,87.7265038608544,"[[0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
none,5,174.18680679183944,"[[0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
ref,6,108.8633905020058,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 2], [0, 2]]"
aug,6,87.85791648798349,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 2], [0, 2]]"
both,6,80.72505373564526,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 2], [0, 2]]"
none,6,174.1877086354853,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 2], [0, 2]]"
ref,7,106.1294146663664,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2]]"
aug,7,83.05396611989447,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2]]"
both,7,76.17228054833248,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2]]"
none,7,174.00322528265121,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2]]"
ref,8,112.9649346225832,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
aug,8,63.4421488451511,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
both,8,58.88478552512785,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
none,8,146.20637269529274,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0]]"
ref,9,106.69741592245995,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0]]"
aug,9,61.73186233760466,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0]]"
both,9,59.04867602776548,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0]]"
none,9,142.9935776020365,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0]]"
ref,10,70.99892198557828,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0], [3, 0]]"
aug,10,58.830722117547715,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0], [3, 0]]"
both,10,57.9659016932871,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0], [3, 0]]"
none,10,118.86396103481893,"[[0, 0], [0, 0], [0, 1], [0, 1], [0, 1], [0, 2], [0, 2], [1, 0], [2, 0], [3, 0]]"
